id;artifact_type;file_name;file_path;mime_type;file_size_kb;checksum;metadata_json;created_at;session_id
1;BOM_JSON;sashay rural while;reschedule internal biodegradable;oof management self-assured;11891;deplore as justly;../fake-data/blob/hipster.txt;2026-05-11T18:37:56;1
2;BOM_JSON;upon sprinkles;knowledgeably;consequently;28995;till;../fake-data/blob/hipster.txt;2026-05-11T10:00:05;2
3;FUSION_MODEL;idle obediently sin;absent;print;22540;fuzzy pace howl;../fake-data/blob/hipster.txt;2026-05-11T14:10:39;3
4;FUSION_SCRIPT;whoa;toward;aside;21279;that;../fake-data/blob/hipster.txt;2026-05-11T10:21:05;4
5;PDF;woefully;why overcooked outrank;internationalize ick habit;7998;squiggly;../fake-data/blob/hipster.txt;2026-05-11T02:50:33;5
6;OTHER;absolve bah;vice yahoo rebuke;anenst slake;27009;deduce whose;../fake-data/blob/hipster.txt;2026-05-11T03:13:35;6
7;FUSION_MODEL;beyond commonly;yawningly drat mill;providence till upright;2395;selfishly;../fake-data/blob/hipster.txt;2026-05-11T14:41:02;7
8;FUSION_MODEL;ew analogy spectate;whoa charming gadzooks;comparison nor rubric;29832;mathematics;../fake-data/blob/hipster.txt;2026-05-10T19:51:35;8
9;FUSION_MODEL;clean;traditionalism;reasoning;21435;provided scamper;../fake-data/blob/hipster.txt;2026-05-10T22:49:45;9
10;FUSION_MODEL;wherever;optimistically caption huzzah;before excepting;30282;progress pasta fast;../fake-data/blob/hipster.txt;2026-05-11T13:00:35;10
