id;image_type;file_name;file_path;mime_type;file_size_kb;width_px;height_px;is_active;uploaded_at;description;session_id
1;AI_RENDER;throughout;factorise;consequently regarding;21664;8378;14925;false;2026-05-11T10:38:36;advertisement during or;1
2;CATALOG;inside so meanwhile;daintily;ha;22973;26817;31702;false;2026-05-11T08:29:55;hundred bin tray;2
3;SKETCH;questioningly;blindly shirk hmph;onto merit rigidly;24135;19307;9340;false;2026-05-10T23:25:44;blah er provided;3
4;SKETCH;zowie joyfully;likewise via;waft;13473;7817;10189;true;2026-05-11T05:43:29;unlike yowza vibration;4
5;FUSION_RENDER;short-term yet zowie;collectivization;generously yum;8245;17476;31815;true;2026-05-11T00:43:30;mortally aggravating;5
6;REFERENCE;chairperson waterlogged;amidst;thorough gad rim;12085;8014;26710;true;2026-05-11T09:53:07;pfft down slake;6
7;REFERENCE;pish mechanically worthy;insidious what tricky;staid next sternly;5620;2031;26382;true;2026-05-10T21:41:58;wafer;7
8;REFERENCE;under explode foretell;warmly;tattered tribe;16815;32695;16614;false;2026-05-10T18:48:53;pleasure rejigger;8
9;AI_RENDER;kindheartedly warmly;vary consequently;who waterspout sheepishly;6189;2508;3957;false;2026-05-11T15:19:04;quadruple burly opposite;9
10;REFERENCE;calmly;consequently yippee victoriously;ha courageously;2736;12828;1090;true;2026-05-11T15:12:06;gadzooks trouser justly;10
